subject	trial_type	block_name	sequence_name	route_num	trial_num	component_label	concept_label	concept_exemplar	onset	duration	type_of_stimulus	trigger_value	trigger_onset	trigger_delay	response_time	press_onset_est	response	response_meaning	expected_response	correct	distance_correct
3	n/a	block1	A	n/a	11	distance_response	n/a	n/a	313.8680736999959	0.0	trigger	56	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	11	n/a	n/a	n/a	313.9843163000187	0.0	choice	n/a	n/a	n/a	1.760829199978616	n/a	5	5	5	True	5
3	retr_1	block1	A	n/a	12	retrieval_ITIcross	n/a	n/a	314.0002429000451	0.36747056665285527	fixcross	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2
3	retr_1	block1	A	n/a	12	image_1_retr	flower/flower_17.jpg	flower/flower_17.jpg	314.41699840000365	1.0002892667000651	image	6	314.41705069999443	5.229999078437686e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_1_retr	n/a	n/a	314.41705069999443	0.0	trigger	6	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_1	block1	A	n/a	12	image_2_retr	ball/ball_11.jpg	ball/ball_11.jpg	315.83375109999906	0.999624366701255	image	1	315.8338084000279	5.730002885684371e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_2_retr	n/a	n/a	315.8338084000279	0.0	trigger	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_start	n/a	n/a	317.083544299996	0.0	trigger	31	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	reflection_end	n/a	n/a	319.266012600041	0.0	trigger	32	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	order_options	n/a	n/a	319.2985275000101	0.0	trigger	59	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_order	block1	A	n/a	12	n/a	n/a	n/a	320.66671510000015	0.0	choice	n/a	n/a	n/a	1.3585069999680854	n/a	b	left	left	True	2
3	n/a	block1	A	n/a	12	order_response	n/a	n/a	320.66681650001556	0.0	trigger	55	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	distance_options	n/a	n/a	320.81497690000106	0.0	trigger	58	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	12	n/a	n/a	n/a	321.8663210000377	0.0	choice	n/a	n/a	n/a	1.3585069999680854	n/a	n/a	2	2	False	2
3	n/a	block1	A	n/a	12	distance_response	n/a	n/a	321.86635890003527	0.0	trigger	56	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	retr_distance	block1	A	n/a	12	n/a	n/a	n/a	321.9822307000286	0.0	choice	n/a	n/a	n/a	0.5619270000024699	n/a	2	2	2	True	2
3	retr_1	block1	A	n/a	13	retrieval_ITIcross	n/a	n/a	321.9979110000422	0.43366006663222834	fixcross	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3
3	retr_1	block1	A	n/a	13	image_1_retr	jacket/jacket_44.jpg	jacket/jacket_44.jpg	322.49822920002043	0.999517866647011	image	10	322.49827520002145	4.600000102072954e-05	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	n/a	n/a	n/a	n/a	n/a	image_1_retr	n/a	n/a	322.49827520002145	0.0	trigger	10	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
